ApplicantID,Applicant Full Name,Application Status,Application Date,Application Year,Application Month,Days Since Application,Gender,Age At Application,Education Level,Years Of Experience,Current Job Department,Education Score,Experience Score,Candidate Score,Age Advantage Score,Candidate Ranking score,Candidate Ranking Category,Expected Salary Band,Is Selected Flag,Is Rejected Flag
1023,Anne Murphy,Rejected,2023-05-08,2023,5,931,Other,40,PhD,11,Not Mentioned,5,5,5,2,7.9,"Strong fit, top candidates",High Range,0,1
1024,Thomas Phillips,Interviewing,2023-06-25,2023,6,883,Other,58,PhD,10,research (physical sciences),5,4,4.4,1,7.24,"Strong fit, top candidates",Mid Range,0,0
1025,Nicholas Conley,Interviewing,2023-05-31,2023,5,908,Other,22,Master's Degree,15,Not Mentioned,4,5,4.6,1,7.1,"Strong fit, top candidates",Mid Range,0,0
1026,Jennifer Austin,In Review,2023-07-07,2023,7,871,Other,21,PhD,8,radio,5,4,4.4,1,6.8,"Strong fit, top candidates",Mid Range,0,0
1027,Cory Miller,Interviewing,2023-06-22,2023,6,886,Other,27,High School,15,Not Mentioned,1,5,3.4,3,5.7,Good candidates,High Range,0,0
1028,Barbara Lopez,Pending Review,2023-08-01,2023,8,846,Other,57,PhD,19,television/film set,5,5,5,1,7.825,"Strong fit, top candidates",Mid Range,0,0
1029,Maria Campbell,Interviewing,2023-06-15,2023,6,893,Male,54,Master's Degree,9,jewellery,4,4,4,1,6.2,"Strong fit, top candidates",High Range,0,0
1030,Duane Lee,Pending Review,2023-07-06,2023,7,872,Other,34,Bachelor's Degree,12,Not Mentioned,3,5,4.2,3,6.9,"Strong fit, top candidates",Mid Range,0,0
1031,Danny Jones,In Review,2023-07-27,2023,7,851,Male,30,PhD,17,textile,5,5,5,3,8.1,"Strong fit, top candidates",High Range,0,0
1032,Hannah Moore,Offered,2023-06-02,2023,6,906,Other,60,Master's Degree,10,Not Mentioned,4,4,4,1,6.2,"Strong fit, top candidates",Mid Range,1,0
1033,Mckenzie Howe,Pending Review,2023-05-16,2023,5,923,Male,21,Bachelor's Degree,13,Not Mentioned,3,5,4.2,1,6.5,"Strong fit, top candidates",High Range,0,0
1034,Ashley Williams,Offered,2023-05-30,2023,5,909,Male,47,Bachelor's Degree,6,Not Mentioned,3,3,3,1,4.7,Good candidates,High Range,1,0
1035,Laura Randall,Pending Review,2023-07-14,2023,7,864,Male,53,PhD,19,dispensing,5,5,5,1,7.7,"Strong fit, top candidates",High Range,0,0
1036,Katherine Morris,In Review,2023-05-09,2023,5,930,Female,44,High School,11,rural practice,1,5,3.4,2,5.67,Good candidates,Mid Range,0,0
1037,Martha Bradford,Interviewing,2023-05-18,2023,5,921,Male,43,Bachelor's Degree,9,Not Mentioned,3,4,3.6,2,5.8,Good candidates,High Range,0,0
1038,Jessica Martinez,Rejected,2023-06-12,2023,6,896,Other,52,PhD,16,Not Mentioned,5,5,5,1,7.7,"Strong fit, top candidates",Mid Range,0,1
1039,Emily Myers,Rejected,2023-06-22,2023,6,886,Other,30,Bachelor's Degree,19,clinical,3,5,4.2,3,7.425,"Strong fit, top candidates",Mid Range,0,1
1040,Steven Villa,Interviewing,2023-08-03,2023,8,844,Male,30,Bachelor's Degree,14,Not Mentioned,3,5,4.2,3,6.9,"Strong fit, top candidates",High Range,0,0
1041,David Walker,Offered,2023-07-18,2023,7,860,Female,55,PhD,0,Not Mentioned,5,1,2.6,1,4.1,Good candidates,Mid Range,1,0
1042,Timothy Rodriguez,Rejected,2023-05-10,2023,5,929,Female,35,PhD,14,Not Mentioned,5,5,5,3,8.1,"Strong fit, top candidates",High Range,0,1
1043,Kevin Lucas,Offered,2023-06-21,2023,6,887,Female,50,PhD,8,Not Mentioned,5,4,4.4,1,6.8,"Strong fit, top candidates",High Range,1,0
1044,Sarah Fischer,Pending Review,2023-05-30,2023,5,909,Other,30,PhD,5,nutritional,5,3,3.8,3,6.775,"Strong fit, top candidates",Mid Range,0,0
1045,Joshua Weeks,In Review,2023-07-30,2023,7,848,Other,29,High School,19,Not Mentioned,1,5,3.4,3,5.7,Good candidates,High Range,0,0
1046,Nicholas Jenkins,Pending Review,2023-07-15,2023,7,863,Female,58,Bachelor's Degree,8,broadcasting/film/video,3,4,3.6,1,5.69,Good candidates,High Range,0,0
1047,Jeremy Stevens,Rejected,2023-05-24,2023,5,915,Female,29,High School,14,Not Mentioned,1,5,3.4,3,5.7,Good candidates,High Range,0,1
1048,Paul Johnson,In Review,2023-07-28,2023,7,850,Male,37,PhD,7,electronics,5,3,3.8,2,6.48,"Strong fit, top candidates",Mid Range,0,0
1049,Jerry Hernandez,Pending Review,2023-07-04,2023,7,874,Other,47,Master's Degree,4,research (medical),4,2,2.8,1,4.68,Good candidates,High Range,0,0
1050,Jason Abbott,Interviewing,2023-06-09,2023,6,899,Male,56,High School,10,land/geomatics,1,4,2.8,1,4.54,Good candidates,High Range,0,0
1051,Jeffrey Sellers,Offered,2023-07-06,2023,7,872,Other,43,High School,10,hydrographic,1,4,2.8,2,4.74,Good candidates,High Range,1,0
1052,Daryl Brown,Pending Review,2023-05-23,2023,5,916,Female,20,Bachelor's Degree,7,Not Mentioned,3,3,3,1,4.7,Good candidates,High Range,0,0
1053,Justin Bush,Interviewing,2023-06-04,2023,6,904,Other,48,PhD,4,Not Mentioned,5,2,3.2,1,5,Good candidates,Mid Range,0,0
1054,Lisa Jackson,Pending Review,2023-05-28,2023,5,911,Male,37,PhD,18,Not Mentioned,5,5,5,2,7.9,"Strong fit, top candidates",High Range,0,0
1055,Brad Vang,Offered,2023-07-23,2023,7,855,Male,33,PhD,6,Not Mentioned,5,3,3.8,3,6.3,"Strong fit, top candidates",Mid Range,1,0
1056,Brittney Rubio,Interviewing,2023-06-22,2023,6,886,Other,21,Bachelor's Degree,9,Not Mentioned,3,4,3.6,1,5.6,Good candidates,High Range,0,0
1057,Kimberly Ellis,In Review,2023-05-22,2023,5,917,Female,41,Master's Degree,13,Not Mentioned,4,5,4.6,2,7.3,"Strong fit, top candidates",High Range,0,0
1058,Stephanie Pearson,Rejected,2023-06-12,2023,6,896,Other,49,PhD,7,Not Mentioned,5,3,3.8,1,5.9,Good candidates,High Range,0,1
1059,Judith Avery,Pending Review,2023-05-15,2023,5,924,Male,52,PhD,8,Not Mentioned,5,4,4.4,1,6.8,"Strong fit, top candidates",High Range,0,0
1060,Susan Mayer,Pending Review,2023-06-24,2023,6,884,Female,36,Master's Degree,14,magazine,4,5,4.6,2,7.415,"Strong fit, top candidates",Mid Range,0,0
1061,Danielle Jones,Interviewing,2023-06-12,2023,6,896,Female,28,Bachelor's Degree,14,molecular,3,5,4.2,3,7.32,"Strong fit, top candidates",Mid Range,0,0
1082,Denise Jackson,Pending Review,2023-07-17,2023,7,861,Male,24,PhD,5,Not Mentioned,5,3,3.8,1,5.9,Good candidates,Mid Range,0,0
1062,Brian Jenkins,Pending Review,2023-06-25,2023,6,883,Female,29,Master's Degree,14,chartered management,4,5,4.6,3,8.19,"Strong fit, top candidates",High Range,0,0
1063,Keith Barrera,Pending Review,2023-07-03,2023,7,875,Female,19,Master's Degree,0,Not Mentioned,4,1,2.2,1,3.5,Weak candidates,Mid Range,0,0
1064,Gary Howard,Interviewing,2023-06-07,2023,6,901,Female,24,Bachelor's Degree,14,Not Mentioned,3,5,4.2,1,6.5,"Strong fit, top candidates",High Range,0,0
1065,David Torres,Interviewing,2023-06-11,2023,6,897,Female,45,PhD,14,government,5,5,5,2,8.275,"Strong fit, top candidates",High Range,0,0
1066,Phillip Weber,Pending Review,2023-06-07,2023,6,901,Other,49,Master's Degree,20,control and instrumentation,4,5,4.6,1,7.56,"Strong fit, top candidates",Mid Range,0,0
1067,Tiffany Fernandez,Pending Review,2023-06-02,2023,6,906,Female,56,High School,18,Not Mentioned,1,5,3.4,1,5.3,Good candidates,Mid Range,0,0
1068,Nicole Lopez,Rejected,2023-06-14,2023,6,894,Female,40,High School,20,Not Mentioned,1,5,3.4,2,5.5,Good candidates,Mid Range,0,1
1069,Joshua Baxter,Offered,2023-06-29,2023,6,879,Other,43,Master's Degree,10,building services,4,4,4,2,6.6,"Strong fit, top candidates",Mid Range,1,0
1070,Danielle Smith,Pending Review,2023-05-11,2023,5,928,Male,48,High School,6,Not Mentioned,1,3,2.2,1,3.5,Weak candidates,High Range,0,0
1071,Christopher Davis,Offered,2023-05-13,2023,5,926,Female,20,Master's Degree,13,Not Mentioned,4,5,4.6,1,7.1,"Strong fit, top candidates",Mid Range,1,0
1072,Jessica Gutierrez,Rejected,2023-05-09,2023,5,930,Male,41,High School,5,Not Mentioned,1,3,2.2,2,3.7,Weak candidates,High Range,0,1
1073,Michael Hunter,Rejected,2023-05-28,2023,5,911,Male,46,Master's Degree,17,Not Mentioned,4,5,4.6,1,7.1,"Strong fit, top candidates",Mid Range,0,1
1074,Kendra French,Pending Review,2023-05-27,2023,5,912,Male,20,PhD,4,Not Mentioned,5,2,3.2,1,5,Good candidates,Mid Range,0,0
1075,William Yu,Pending Review,2023-06-12,2023,6,896,Female,29,Bachelor's Degree,18,television,3,5,4.2,3,7.005,"Strong fit, top candidates",Mid Range,0,0
1076,Carol Steele,In Review,2023-07-14,2023,7,864,Female,50,PhD,1,planning and development,5,1,2.6,1,4.23,Good candidates,High Range,0,0
1077,Maria Davidson,Interviewing,2023-08-05,2023,8,842,Female,60,High School,18,Not Mentioned,1,5,3.4,1,5.3,Good candidates,High Range,0,0
1078,Nicole Garcia,Offered,2023-07-09,2023,7,869,Other,57,PhD,20,Not Mentioned,5,5,5,1,7.7,"Strong fit, top candidates",High Range,1,0
1079,James Howell,Rejected,2023-07-12,2023,7,866,Female,31,Bachelor's Degree,2,Not Mentioned,3,2,2.4,3,4.2,Good candidates,High Range,0,1
1080,Keith Pace,In Review,2023-07-08,2023,7,870,Male,43,Bachelor's Degree,18,community,3,5,4.2,2,6.49,"Strong fit, top candidates",Mid Range,0,0
1081,Nichole Stevenson,Rejected,2023-05-27,2023,5,912,Female,24,PhD,0,Not Mentioned,5,1,2.6,1,4.1,Good candidates,Mid Range,0,1
1083,Christine Phillips,Offered,2023-06-28,2023,6,880,Male,40,High School,3,Not Mentioned,1,2,1.6,2,2.8,Weak candidates,High Range,1,0
1084,Patricia Pearson,Offered,2023-07-07,2023,7,871,Other,53,Bachelor's Degree,4,Not Mentioned,3,2,2.4,1,3.8,Weak candidates,Mid Range,1,0
1085,Cynthia Black,Rejected,2023-06-28,2023,6,880,Other,37,High School,17,Not Mentioned,1,5,3.4,2,5.5,Good candidates,High Range,0,1
1086,Brenda Foster,Interviewing,2023-06-13,2023,6,895,Other,34,High School,7,Not Mentioned,1,3,2.2,3,3.9,Weak candidates,High Range,0,0
1087,Holly Brandt,In Review,2023-07-02,2023,7,876,Female,58,PhD,12,site,5,5,5,1,7.95,"Strong fit, top candidates",High Range,0,0
1088,Erin Kirk,Interviewing,2023-06-27,2023,6,881,Female,49,PhD,4,Not Mentioned,5,2,3.2,1,5,Good candidates,High Range,0,0
1089,Kevin Owens,Offered,2023-05-08,2023,5,931,Male,38,Bachelor's Degree,10,Not Mentioned,3,4,3.6,2,5.8,Good candidates,High Range,1,0
1090,Sarah Glover,Offered,2023-08-03,2023,8,844,Female,45,PhD,18,jewellery,5,5,5,2,7.9,"Strong fit, top candidates",Mid Range,1,0
1091,Yolanda Collins,Pending Review,2023-05-20,2023,5,919,Male,37,Bachelor's Degree,8,civil (contracting),3,4,3.6,2,6.16,"Strong fit, top candidates",High Range,0,0
1092,Julia Green,In Review,2023-05-31,2023,5,908,Male,37,Bachelor's Degree,17,mental health,3,5,4.2,2,7.225,"Strong fit, top candidates",Mid Range,0,0
1093,Michael Smith,Interviewing,2023-07-25,2023,7,853,Female,22,High School,11,general practice,1,5,3.4,1,5.3,Good candidates,High Range,0,0
1094,Edward Peck,Rejected,2023-06-26,2023,6,882,Male,23,Master's Degree,7,Not Mentioned,4,3,3.4,1,5.3,Good candidates,High Range,0,1
1095,Michele Williams,Pending Review,2023-05-15,2023,5,924,Male,60,High School,3,Not Mentioned,1,2,1.6,1,2.6,Weak candidates,Mid Range,0,0
1096,Steven Martinez,Interviewing,2023-08-02,2023,8,845,Other,30,High School,20,Not Mentioned,1,5,3.4,3,5.7,Good candidates,Mid Range,0,0
1097,Austin Johnson,Interviewing,2023-07-02,2023,7,876,Male,23,PhD,16,Not Mentioned,5,5,5,1,7.7,"Strong fit, top candidates",Mid Range,0,0
1098,Robert Bowman,In Review,2023-07-20,2023,7,858,Female,61,High School,12,Not Mentioned,1,5,3.4,1,5.3,Good candidates,High Range,0,0
1099,Alexander Pineda,Offered,2023-07-13,2023,7,865,Male,19,PhD,17,Not Mentioned,5,5,5,1,7.7,"Strong fit, top candidates",Mid Range,1,0
1100,Kathleen Jones,Pending Review,2023-06-24,2023,6,884,Female,53,Bachelor's Degree,16,Not Mentioned,3,5,4.2,1,6.5,"Strong fit, top candidates",Mid Range,0,0
1101,Sandra Wang,In Review,2023-06-12,2023,6,896,Male,46,PhD,18,Not Mentioned,5,5,5,1,7.7,"Strong fit, top candidates",High Range,0,0
1102,Kristen Foster,Offered,2023-05-27,2023,5,912,Female,48,PhD,7,Not Mentioned,5,3,3.8,1,5.9,Good candidates,High Range,1,0
1103,Darrell Fernandez,In Review,2023-07-27,2023,7,851,Female,36,PhD,3,Not Mentioned,5,2,3.2,2,5.2,Good candidates,Mid Range,0,0
1104,Kimberly Castro,In Review,2023-07-25,2023,7,853,Female,26,Master's Degree,6,clinical,4,3,3.4,3,6.125,"Strong fit, top candidates",High Range,0,0
1105,Sheryl Hampton,Rejected,2023-07-09,2023,7,869,Other,41,PhD,4,Not Mentioned,5,2,3.2,2,5.2,Good candidates,High Range,0,1
1106,Earl Houston,Pending Review,2023-05-28,2023,5,911,Other,44,Master's Degree,13,Not Mentioned,4,5,4.6,2,7.3,"Strong fit, top candidates",Mid Range,0,0
1107,Michael Andrews,Rejected,2023-06-19,2023,6,889,Other,29,PhD,13,Not Mentioned,5,5,5,3,8.1,"Strong fit, top candidates",High Range,0,1
1108,Amanda Monroe,Interviewing,2023-06-26,2023,6,882,Male,20,Master's Degree,13,Not Mentioned,4,5,4.6,1,7.1,"Strong fit, top candidates",High Range,0,0
1109,Richard Johnson,Pending Review,2023-06-22,2023,6,886,Male,32,Bachelor's Degree,20,Not Mentioned,3,5,4.2,3,6.9,"Strong fit, top candidates",Mid Range,0,0
1110,Kaitlin Fox,Pending Review,2023-07-05,2023,7,873,Male,60,Master's Degree,0,Not Mentioned,4,1,2.2,1,3.5,Weak candidates,High Range,0,0
1111,Laura Johnson,Pending Review,2023-07-06,2023,7,872,Other,19,High School,11,Not Mentioned,1,5,3.4,1,5.3,Good candidates,Mid Range,0,0
1112,Jessica Bennett,Rejected,2023-07-27,2023,7,851,Other,38,High School,10,Not Mentioned,1,4,2.8,2,4.6,Good candidates,High Range,0,1
1113,Daniel Smith,Pending Review,2023-06-25,2023,6,883,Male,40,Bachelor's Degree,16,Not Mentioned,3,5,4.2,2,6.7,"Strong fit, top candidates",Mid Range,0,0
1114,Evan Benitez,Offered,2023-06-08,2023,6,900,Female,36,Master's Degree,11,Not Mentioned,4,5,4.6,2,7.3,"Strong fit, top candidates",High Range,1,0
1115,Sharon Brown,Offered,2023-07-10,2023,7,868,Female,29,PhD,1,Not Mentioned,5,1,2.6,3,4.5,Good candidates,Mid Range,1,0
1116,Tiffany Davis,Interviewing,2023-07-16,2023,7,862,Female,44,PhD,14,Not Mentioned,5,5,5,2,7.9,"Strong fit, top candidates",High Range,0,0
1117,Adam Martinez,Offered,2023-06-24,2023,6,884,Other,42,Bachelor's Degree,6,Not Mentioned,3,3,3,2,4.9,Good candidates,High Range,1,0
1118,Patricia Johnson,Rejected,2023-07-09,2023,7,869,Female,24,PhD,8,Not Mentioned,5,4,4.4,1,6.8,"Strong fit, top candidates",High Range,0,1
1119,Deborah Welch,Offered,2023-06-25,2023,6,883,Female,22,Bachelor's Degree,18,Not Mentioned,3,5,4.2,1,6.5,"Strong fit, top candidates",High Range,1,0
1120,Lauren Hunter,In Review,2023-06-27,2023,6,881,Female,21,Bachelor's Degree,15,Not Mentioned,3,5,4.2,1,6.5,"Strong fit, top candidates",High Range,0,0
1121,Mark Johnson,Rejected,2023-07-06,2023,7,872,Female,49,PhD,4,forensic,5,2,3.2,1,5.4,Good candidates,Mid Range,0,1
1122,Brandon Kennedy,In Review,2023-06-21,2023,6,887,Other,54,High School,15,Not Mentioned,1,5,3.4,1,5.3,Good candidates,High Range,0,0
1123,Shelly Watkins,Pending Review,2023-06-23,2023,6,885,Male,27,High School,18,Not Mentioned,1,5,3.4,3,5.7,Good candidates,High Range,0,0
1124,Brandon Allen,Rejected,2023-06-11,2023,6,897,Male,31,PhD,3,Not Mentioned,5,2,3.2,3,5.4,Good candidates,High Range,0,1
1125,Keith Davis,Interviewing,2023-05-19,2023,5,920,Male,39,PhD,5,Not Mentioned,5,3,3.8,2,6.1,"Strong fit, top candidates",High Range,0,0
1126,Jason Wall,Rejected,2023-07-03,2023,7,875,Female,44,High School,8,Not Mentioned,1,4,2.8,2,4.6,Good candidates,Mid Range,0,1
1127,Amy Reyes,Pending Review,2023-06-02,2023,6,906,Male,48,Master's Degree,18,Not Mentioned,4,5,4.6,1,7.1,"Strong fit, top candidates",Mid Range,0,0
1128,James Gallegos,In Review,2023-07-02,2023,7,876,Female,31,Bachelor's Degree,8,fashion/clothing,3,4,3.6,3,6.09,"Strong fit, top candidates",High Range,0,0
1129,Caleb Rhodes,Pending Review,2023-07-28,2023,7,850,Other,56,High School,0,occupational,1,1,1,1,1.7,Weak candidates,High Range,0,0
1130,Angelica Bennett,Interviewing,2023-08-01,2023,8,846,Other,46,Master's Degree,0,Not Mentioned,4,1,2.2,1,3.5,Weak candidates,High Range,0,0
1131,Ethan Garcia,Offered,2023-07-29,2023,7,849,Other,21,High School,20,Not Mentioned,1,5,3.4,1,5.3,Good candidates,Mid Range,1,0
1132,Thomas Smith,Rejected,2023-06-05,2023,6,903,Other,54,Bachelor's Degree,18,Not Mentioned,3,5,4.2,1,6.5,"Strong fit, top candidates",Mid Range,0,1
1133,Tamara Smith,In Review,2023-05-31,2023,5,908,Other,36,Bachelor's Degree,16,Not Mentioned,3,5,4.2,2,6.7,"Strong fit, top candidates",High Range,0,0
1134,Julie Williams,Offered,2023-05-16,2023,5,923,Female,52,PhD,18,Not Mentioned,5,5,5,1,7.7,"Strong fit, top candidates",High Range,1,0
1135,Grant Thompson,Pending Review,2023-05-19,2023,5,920,Male,21,Master's Degree,15,Not Mentioned,4,5,4.6,1,7.1,"Strong fit, top candidates",High Range,0,0
1136,Laura Kaiser,Rejected,2023-07-29,2023,7,849,Other,39,Bachelor's Degree,5,Not Mentioned,3,3,3,2,4.9,Good candidates,Mid Range,0,1
1137,Ralph Robinson,In Review,2023-08-05,2023,8,842,Male,45,PhD,18,Not Mentioned,5,5,5,2,7.9,"Strong fit, top candidates",Mid Range,0,0
1138,Lawrence Welch,Interviewing,2023-07-07,2023,7,871,Female,61,Bachelor's Degree,4,Not Mentioned,3,2,2.4,1,3.8,Weak candidates,Mid Range,0,0
1139,Justin Wallace,Offered,2023-06-26,2023,6,882,Male,48,High School,16,Not Mentioned,1,5,3.4,1,5.3,Good candidates,High Range,1,0
1140,Robert Turner,Offered,2023-07-15,2023,7,863,Female,35,Bachelor's Degree,17,Not Mentioned,3,5,4.2,3,6.9,"Strong fit, top candidates",Mid Range,1,0
1141,Stephanie Ramirez,Offered,2023-07-02,2023,7,876,Female,32,PhD,1,chartered certified,5,1,2.6,3,4.89,Good candidates,Mid Range,1,0
1142,Christina Richards,Pending Review,2023-07-19,2023,7,859,Other,28,Master's Degree,20,Not Mentioned,4,5,4.6,3,7.5,"Strong fit, top candidates",Mid Range,0,0
1143,Nicholas Castillo,In Review,2023-05-29,2023,5,910,Male,54,Master's Degree,4,Not Mentioned,4,2,2.8,1,4.4,Good candidates,High Range,0,0
1144,Kyle Davis,In Review,2023-06-22,2023,6,886,Female,25,PhD,4,Not Mentioned,5,2,3.2,3,5.4,Good candidates,Mid Range,0,0
1145,Katherine Garcia,Offered,2023-05-20,2023,5,919,Other,52,Bachelor's Degree,16,Not Mentioned,3,5,4.2,1,6.5,"Strong fit, top candidates",High Range,1,0
1146,Daniel Shaffer,Pending Review,2023-08-02,2023,8,845,Other,19,High School,18,Not Mentioned,1,5,3.4,1,5.3,Good candidates,High Range,0,0
1147,Cameron Meza,Interviewing,2023-07-12,2023,7,866,Other,33,Bachelor's Degree,12,Not Mentioned,3,5,4.2,3,6.9,"Strong fit, top candidates",High Range,0,0
1148,Justin Lang,Offered,2023-07-04,2023,7,874,Other,31,Bachelor's Degree,20,Not Mentioned,3,5,4.2,3,6.9,"Strong fit, top candidates",High Range,1,0
1149,April Martinez,In Review,2023-08-04,2023,8,843,Female,54,Master's Degree,6,broadcasting/film/video,4,3,3.4,1,5.385,Good candidates,High Range,0,0
1150,Anthony Armstrong,Pending Review,2023-08-01,2023,8,846,Male,35,Master's Degree,15,manufacturing systems,4,5,4.6,3,7.96,"Strong fit, top candidates",High Range,0,0
1151,Rebekah Wright,Interviewing,2023-06-14,2023,6,894,Other,45,High School,15,Not Mentioned,1,5,3.4,2,5.5,Good candidates,Mid Range,0,0
1152,Randall Conrad,Interviewing,2023-05-08,2023,5,931,Male,28,High School,19,Not Mentioned,1,5,3.4,3,5.7,Good candidates,Mid Range,0,0
1153,Wendy Smith,Rejected,2023-07-16,2023,7,862,Other,35,PhD,1,Not Mentioned,5,1,2.6,3,4.5,Good candidates,Mid Range,0,1
1154,Shannon Patel,Interviewing,2023-06-23,2023,6,885,Female,47,PhD,1,Not Mentioned,5,1,2.6,1,4.1,Good candidates,Mid Range,0,0
1155,Kari Brown,In Review,2023-07-08,2023,7,870,Male,25,PhD,17,Not Mentioned,5,5,5,3,8.1,"Strong fit, top candidates",High Range,0,0
1156,Alyssa Vargas,Offered,2023-06-16,2023,6,892,Female,59,High School,0,Not Mentioned,1,1,1,1,1.7,Weak candidates,Mid Range,1,0
1157,Shane Meyer,Pending Review,2023-06-08,2023,6,900,Other,60,High School,0,Not Mentioned,1,1,1,1,1.7,Weak candidates,High Range,0,0
1158,Mariah Thompson,Pending Review,2023-06-03,2023,6,905,Other,61,High School,17,Not Mentioned,1,5,3.4,1,5.3,Good candidates,Mid Range,0,0
1159,George Sanders,Pending Review,2023-08-04,2023,8,843,Other,33,High School,4,Not Mentioned,1,2,1.6,3,3,Weak candidates,High Range,0,0
1160,Paul Gray,Offered,2023-05-28,2023,5,911,Other,22,Bachelor's Degree,2,Not Mentioned,3,2,2.4,1,3.8,Weak candidates,Mid Range,1,0
1161,Oscar Clark,Rejected,2023-06-09,2023,6,899,Female,26,High School,0,Not Mentioned,1,1,1,3,2.1,Weak candidates,High Range,0,1
1162,Samuel Strong,Offered,2023-06-13,2023,6,895,Other,57,Master's Degree,10,Not Mentioned,4,4,4,1,6.2,"Strong fit, top candidates",High Range,1,0
1163,Darren Dunn,Interviewing,2023-06-16,2023,6,892,Other,32,PhD,6,Not Mentioned,5,3,3.8,3,6.3,"Strong fit, top candidates",High Range,0,0
1164,Matthew Wyatt,Interviewing,2023-06-11,2023,6,897,Other,40,Master's Degree,14,Not Mentioned,4,5,4.6,2,7.3,"Strong fit, top candidates",High Range,0,0
1165,Shannon Knight,Pending Review,2023-05-13,2023,5,926,Female,38,Master's Degree,15,Not Mentioned,4,5,4.6,2,7.3,"Strong fit, top candidates",High Range,0,0
1166,Reginald Smith,Rejected,2023-05-30,2023,5,909,Female,30,High School,20,Not Mentioned,1,5,3.4,3,5.7,Good candidates,Mid Range,0,1
1167,Sherry Carter,Pending Review,2023-07-21,2023,7,857,Male,54,High School,18,Not Mentioned,1,5,3.4,1,5.3,Good candidates,High Range,0,0
