Employee ID,Employee Name,Survey Date,Survey Year,Survey Month,Engagement Score,Rolling 3Month Engagement Avg,Previous Engagement Score,Engagement Improvement Score,Engagement Improving Level,Low Engagement Flag,Satisfaction Score,Previous_Satisfaction_Score,Satisfaction Improvement Score,Satisfaction Improvement Level,Work-Life Balance Score,Previous WLB Score,WLB Improvement Score,WLB Improvement Level,Composite Engagement Risk Score,Engagement Risk Level,Risk Employee Flag,Days Since Survey
1050,Steven Schneider,2023-07-03,2023,7,4,4,NULL,NULL,Stable,0,5,NULL,NULL,Stable,1,NULL,NULL,Stable,3.7,Needs monitoring,0,875
1051,Devon Hinton,2023-01-01,2023,1,2,2,NULL,NULL,Stable,1,4,NULL,NULL,Stable,5,NULL,NULL,Stable,3.2,Needs monitoring,0,1058
1052,Jacquelyn Johns,2022-11-19,2022,11,1,1,NULL,NULL,Stable,1,4,NULL,NULL,Stable,4,NULL,NULL,Stable,2.5,Employee At-Risk,1,1101
1053,Blaine Keith,2022-10-12,2022,10,2,2,NULL,NULL,Stable,1,1,NULL,NULL,Stable,4,NULL,NULL,Stable,2.1,Employee At-Risk,1,1139
1054,Phillip Salazar,2023-07-05,2023,7,1,1,NULL,NULL,Stable,1,5,NULL,NULL,Stable,2,NULL,NULL,Stable,2.4,Employee At-Risk,1,873
1055,Chaz Webb,2022-09-23,2022,9,3,3,NULL,NULL,Stable,0,4,NULL,NULL,Stable,1,NULL,NULL,Stable,2.9,Employee At-Risk,1,1158
1056,Desmond Anderson,2023-01-17,2023,1,4,4,NULL,NULL,Stable,0,2,NULL,NULL,Stable,2,NULL,NULL,Stable,3,Needs monitoring,0,1042
1057,Sophie Decker,2023-03-12,2023,3,3,3,NULL,NULL,Stable,0,2,NULL,NULL,Stable,5,NULL,NULL,Stable,3.1,Needs monitoring,0,988
1058,Lena Bryan,2023-03-06,2023,3,4,4,NULL,NULL,Stable,0,2,NULL,NULL,Stable,1,NULL,NULL,Stable,2.8,Employee At-Risk,1,994
1059,Kelsie Mccormick,2023-03-29,2023,3,4,4,NULL,NULL,Stable,0,3,NULL,NULL,Stable,3,NULL,NULL,Stable,3.5,Needs monitoring,0,971
1060,Frida Livingston,2023-07-01,2023,7,5,5,NULL,NULL,Stable,0,5,NULL,NULL,Stable,4,NULL,NULL,Stable,4.8,Employee is engaged,0,877
1061,Isai Alvarado,2023-02-05,2023,2,3,3,NULL,NULL,Stable,0,3,NULL,NULL,Stable,1,NULL,NULL,Stable,2.6,Employee At-Risk,1,1023
1062,Travis Vasquez,2023-01-03,2023,1,3,3,NULL,NULL,Stable,0,2,NULL,NULL,Stable,1,NULL,NULL,Stable,2.3,Employee At-Risk,1,1056
1063,Jazlene Maynard,2023-07-25,2023,7,5,5,NULL,NULL,Stable,0,2,NULL,NULL,Stable,4,NULL,NULL,Stable,3.9,Needs monitoring,0,853
1064,Wyatt Donovan,2022-12-14,2022,12,5,5,NULL,NULL,Stable,0,4,NULL,NULL,Stable,4,NULL,NULL,Stable,4.5,Employee is engaged,0,1076
1065,Nathaly Cooper,2023-01-20,2023,1,5,5,NULL,NULL,Stable,0,3,NULL,NULL,Stable,4,NULL,NULL,Stable,4.2,Employee is engaged,0,1039
1066,Gage Weeks,2023-07-15,2023,7,4,4,NULL,NULL,Stable,0,3,NULL,NULL,Stable,5,NULL,NULL,Stable,3.9,Needs monitoring,0,863
1067,Gavin Frye,2023-06-10,2023,6,3,3,NULL,NULL,Stable,0,2,NULL,NULL,Stable,5,NULL,NULL,Stable,3.1,Needs monitoring,0,898
1068,Amber Ross,2022-10-09,2022,10,3,3,NULL,NULL,Stable,0,2,NULL,NULL,Stable,2,NULL,NULL,Stable,2.5,Employee At-Risk,1,1142
1069,Wyatt Edwards,2023-02-04,2023,2,3,3,NULL,NULL,Stable,0,1,NULL,NULL,Stable,2,NULL,NULL,Stable,2.2,Employee At-Risk,1,1024
1070,Karla Reed,2023-03-05,2023,3,3,3,NULL,NULL,Stable,0,1,NULL,NULL,Stable,2,NULL,NULL,Stable,2.2,Employee At-Risk,1,995
1071,Yadira Mcmillan,2023-05-15,2023,5,1,1,NULL,NULL,Stable,1,2,NULL,NULL,Stable,2,NULL,NULL,Stable,1.5,Employee At-Risk,1,924
1072,Fernando Mcconnell,2023-02-18,2023,2,2,2,NULL,NULL,Stable,1,2,NULL,NULL,Stable,3,NULL,NULL,Stable,2.2,Employee At-Risk,1,1010
1073,Sean Bean,2023-02-16,2023,2,4,4,NULL,NULL,Stable,0,4,NULL,NULL,Stable,2,NULL,NULL,Stable,3.6,Needs monitoring,0,1012
1074,Lilianna Mccall,2023-02-10,2023,2,3,3,NULL,NULL,Stable,0,4,NULL,NULL,Stable,1,NULL,NULL,Stable,2.9,Employee At-Risk,1,1018
1075,Salvador Thomas,2023-04-10,2023,4,1,1,NULL,NULL,Stable,1,2,NULL,NULL,Stable,3,NULL,NULL,Stable,1.7,Employee At-Risk,1,959
1076,Jair Silva,2023-04-11,2023,4,1,1,NULL,NULL,Stable,1,3,NULL,NULL,Stable,1,NULL,NULL,Stable,1.6,Employee At-Risk,1,958
1077,Derek Moreno,2022-10-12,2022,10,5,5,NULL,NULL,Stable,0,2,NULL,NULL,Stable,4,NULL,NULL,Stable,3.9,Needs monitoring,0,1139
1078,Litzy Conner,2023-07-28,2023,7,3,3,NULL,NULL,Stable,0,3,NULL,NULL,Stable,4,NULL,NULL,Stable,3.2,Needs monitoring,0,850
1079,Joanna Burnett,2022-10-08,2022,10,2,2,NULL,NULL,Stable,1,2,NULL,NULL,Stable,1,NULL,NULL,Stable,1.8,Employee At-Risk,1,1143
1080,Abdullah Frederick,2023-03-04,2023,3,3,3,NULL,NULL,Stable,0,1,NULL,NULL,Stable,3,NULL,NULL,Stable,2.4,Employee At-Risk,1,996
1081,Armani Porter,2023-03-03,2023,3,1,1,NULL,NULL,Stable,1,3,NULL,NULL,Stable,3,NULL,NULL,Stable,2,Employee At-Risk,1,997
1082,Taylor Sanders,2023-02-27,2023,2,1,1,NULL,NULL,Stable,1,4,NULL,NULL,Stable,1,NULL,NULL,Stable,1.9,Employee At-Risk,1,1001
1083,Iliana Randall,2023-01-09,2023,1,5,5,NULL,NULL,Stable,0,5,NULL,NULL,Stable,3,NULL,NULL,Stable,4.6,Employee is engaged,0,1050
1084,Luke Henderson,2023-02-19,2023,2,1,1,NULL,NULL,Stable,1,2,NULL,NULL,Stable,4,NULL,NULL,Stable,1.9,Employee At-Risk,1,1009
1085,Madelyn Lambert,2023-01-09,2023,1,5,5,NULL,NULL,Stable,0,5,NULL,NULL,Stable,3,NULL,NULL,Stable,4.6,Employee is engaged,0,1050
1086,Ava Pace,2023-03-14,2023,3,1,1,NULL,NULL,Stable,1,1,NULL,NULL,Stable,5,NULL,NULL,Stable,1.8,Employee At-Risk,1,986
1087,Delaney Bruce,2023-05-03,2023,5,1,1,NULL,NULL,Stable,1,5,NULL,NULL,Stable,2,NULL,NULL,Stable,2.4,Employee At-Risk,1,936
1088,Jair Bullock,2023-04-20,2023,4,4,4,NULL,NULL,Stable,0,3,NULL,NULL,Stable,1,NULL,NULL,Stable,3.1,Needs monitoring,0,949
1089,Kayla Farrell,2023-04-19,2023,4,3,3,NULL,NULL,Stable,0,1,NULL,NULL,Stable,5,NULL,NULL,Stable,2.8,Employee At-Risk,1,950
1090,Taylor Gamble,2023-05-16,2023,5,4,4,NULL,NULL,Stable,0,3,NULL,NULL,Stable,4,NULL,NULL,Stable,3.7,Needs monitoring,0,923
1091,Carl Desimone,2023-04-22,2023,4,2,2,NULL,NULL,Stable,1,4,NULL,NULL,Stable,3,NULL,NULL,Stable,2.8,Employee At-Risk,1,947
1092,Sophia Theamstern,2023-03-08,2023,3,1,1,NULL,NULL,Stable,1,4,NULL,NULL,Stable,1,NULL,NULL,Stable,1.9,Employee At-Risk,1,992
1093,Kara Harrison,2023-03-05,2023,3,3,3,NULL,NULL,Stable,0,1,NULL,NULL,Stable,4,NULL,NULL,Stable,2.6,Employee At-Risk,1,995
1094,Ming Huynh,2023-01-22,2023,1,5,5,NULL,NULL,Stable,0,4,NULL,NULL,Stable,5,NULL,NULL,Stable,4.7,Employee is engaged,0,1037
1095,Karen Mancuso,2023-03-17,2023,3,1,1,NULL,NULL,Stable,1,2,NULL,NULL,Stable,1,NULL,NULL,Stable,1.3,Employee At-Risk,1,983
1096,Linda Anderson,2022-12-17,2022,12,1,1,NULL,NULL,Stable,1,3,NULL,NULL,Stable,2,NULL,NULL,Stable,1.8,Employee At-Risk,1,1073
1097,Nilson Fernandes,2022-10-31,2022,10,1,1,NULL,NULL,Stable,1,2,NULL,NULL,Stable,5,NULL,NULL,Stable,2.1,Employee At-Risk,1,1120
1098,Alain Robinson,2022-12-28,2022,12,2,2,NULL,NULL,Stable,1,2,NULL,NULL,Stable,2,NULL,NULL,Stable,2,Employee At-Risk,1,1062
1099,Seffi Shields,2023-08-04,2023,8,1,1,NULL,NULL,Stable,1,5,NULL,NULL,Stable,5,NULL,NULL,Stable,3,Needs monitoring,0,843
1100,Horia Ndzi,2022-09-10,2022,9,1,1,NULL,NULL,Stable,1,4,NULL,NULL,Stable,5,NULL,NULL,Stable,2.7,Employee At-Risk,1,1171
1101,Evelyn Girifalco,2023-03-21,2023,3,1,1,NULL,NULL,Stable,1,1,NULL,NULL,Stable,3,NULL,NULL,Stable,1.4,Employee At-Risk,1,979
1102,Ermine Pelletier,2023-03-02,2023,3,5,5,NULL,NULL,Stable,0,1,NULL,NULL,Stable,4,NULL,NULL,Stable,3.6,Needs monitoring,0,998
1103,Samuel MacLennan,2022-11-06,2022,11,5,5,NULL,NULL,Stable,0,3,NULL,NULL,Stable,1,NULL,NULL,Stable,3.6,Needs monitoring,0,1114
1104,Sean Bernstein,2022-12-21,2022,12,1,1,NULL,NULL,Stable,1,4,NULL,NULL,Stable,2,NULL,NULL,Stable,2.1,Employee At-Risk,1,1069
1105,Shakira Perry,2023-02-15,2023,2,1,1,NULL,NULL,Stable,1,4,NULL,NULL,Stable,1,NULL,NULL,Stable,1.9,Employee At-Risk,1,1013
1106,Michael J Fitzpatrick,2023-01-31,2023,1,2,2,NULL,NULL,Stable,1,3,NULL,NULL,Stable,3,NULL,NULL,Stable,2.5,Employee At-Risk,1,1028
1107,Cybil Trzeciak,2022-10-18,2022,10,4,4,NULL,NULL,Stable,0,5,NULL,NULL,Stable,1,NULL,NULL,Stable,3.7,Needs monitoring,0,1133
1108,Barry Wilber,2023-07-24,2023,7,4,4,NULL,NULL,Stable,0,5,NULL,NULL,Stable,3,NULL,NULL,Stable,4.1,Employee is engaged,0,854
1109,Enola Chivukula,2022-10-16,2022,10,4,4,NULL,NULL,Stable,0,5,NULL,NULL,Stable,4,NULL,NULL,Stable,4.3,Employee is engaged,0,1135
1110,Joelle Burke,2023-02-23,2023,2,1,1,NULL,NULL,Stable,1,1,NULL,NULL,Stable,4,NULL,NULL,Stable,1.6,Employee At-Risk,1,1005
1111,Alexandra Kirill,2023-05-11,2023,5,4,4,NULL,NULL,Stable,0,1,NULL,NULL,Stable,1,NULL,NULL,Stable,2.5,Employee At-Risk,1,928
1112,Celeste Johnson,2023-07-06,2023,7,4,4,NULL,NULL,Stable,0,1,NULL,NULL,Stable,1,NULL,NULL,Stable,2.5,Employee At-Risk,1,872
1113,Nathalia Hendrix,2023-04-09,2023,4,3,3,NULL,NULL,Stable,0,3,NULL,NULL,Stable,5,NULL,NULL,Stable,3.4,Needs monitoring,0,960
1114,Justus Bowen,2023-03-03,2023,3,1,1,NULL,NULL,Stable,1,3,NULL,NULL,Stable,3,NULL,NULL,Stable,2,Employee At-Risk,1,997
1115,Marcus Bender,2023-03-11,2023,3,4,4,NULL,NULL,Stable,0,1,NULL,NULL,Stable,3,NULL,NULL,Stable,2.9,Employee At-Risk,1,989
1116,Ryker Logan,2022-12-16,2022,12,3,3,NULL,NULL,Stable,0,4,NULL,NULL,Stable,4,NULL,NULL,Stable,3.5,Needs monitoring,0,1074
1117,Payten Middleton,2023-07-29,2023,7,4,4,NULL,NULL,Stable,0,5,NULL,NULL,Stable,1,NULL,NULL,Stable,3.7,Needs monitoring,0,849
1118,Harrison Hunt,2023-02-22,2023,2,1,1,NULL,NULL,Stable,1,5,NULL,NULL,Stable,3,NULL,NULL,Stable,2.6,Employee At-Risk,1,1006
1119,Orlando Henderson,2023-04-16,2023,4,4,4,NULL,NULL,Stable,0,4,NULL,NULL,Stable,5,NULL,NULL,Stable,4.2,Employee is engaged,0,953
1120,Darian Potts,2023-06-05,2023,6,3,3,NULL,NULL,Stable,0,3,NULL,NULL,Stable,4,NULL,NULL,Stable,3.2,Needs monitoring,0,903
1121,Isabela Collins,2023-01-21,2023,1,1,1,NULL,NULL,Stable,1,1,NULL,NULL,Stable,4,NULL,NULL,Stable,1.6,Employee At-Risk,1,1038
1122,Sierra Macias,2022-12-04,2022,12,2,2,NULL,NULL,Stable,1,1,NULL,NULL,Stable,2,NULL,NULL,Stable,1.7,Employee At-Risk,1,1086
1123,Giuliana Farmer,2023-06-10,2023,6,2,2,NULL,NULL,Stable,1,3,NULL,NULL,Stable,1,NULL,NULL,Stable,2.1,Employee At-Risk,1,898
1124,Pierce Robbins,2023-02-27,2023,2,3,3,NULL,NULL,Stable,0,2,NULL,NULL,Stable,3,NULL,NULL,Stable,2.7,Employee At-Risk,1,1001
1125,Lamont Bridges,2023-03-17,2023,3,4,4,NULL,NULL,Stable,0,3,NULL,NULL,Stable,4,NULL,NULL,Stable,3.7,Needs monitoring,0,983
1126,Gretchen Richard,2023-04-23,2023,4,3,3,NULL,NULL,Stable,0,3,NULL,NULL,Stable,2,NULL,NULL,Stable,2.8,Employee At-Risk,1,946
1127,Axel Hart,2023-01-27,2023,1,5,5,NULL,NULL,Stable,0,1,NULL,NULL,Stable,3,NULL,NULL,Stable,3.4,Needs monitoring,0,1032
1128,Emma Escobar,2023-02-18,2023,2,4,4,NULL,NULL,Stable,0,2,NULL,NULL,Stable,4,NULL,NULL,Stable,3.4,Needs monitoring,0,1010
1129,Maximilian Craig,2022-10-31,2022,10,1,1,NULL,NULL,Stable,1,1,NULL,NULL,Stable,1,NULL,NULL,Stable,1,Employee At-Risk,1,1120
1130,Erik Padilla,2023-05-07,2023,5,1,1,NULL,NULL,Stable,1,5,NULL,NULL,Stable,4,NULL,NULL,Stable,2.8,Employee At-Risk,1,932
1131,Gilbert Duffy,2023-05-11,2023,5,4,4,NULL,NULL,Stable,0,4,NULL,NULL,Stable,4,NULL,NULL,Stable,4,Employee is engaged,0,928
1132,Raymond Ayers,2023-07-15,2023,7,1,1,NULL,NULL,Stable,1,5,NULL,NULL,Stable,5,NULL,NULL,Stable,3,Needs monitoring,0,863
1133,Vincent Wyatt,2023-06-15,2023,6,1,1,NULL,NULL,Stable,1,2,NULL,NULL,Stable,4,NULL,NULL,Stable,1.9,Employee At-Risk,1,893
1134,Micah Stanley,2022-12-29,2022,12,4,4,NULL,NULL,Stable,0,1,NULL,NULL,Stable,2,NULL,NULL,Stable,2.7,Employee At-Risk,1,1061
1135,Evan Chen,2023-02-23,2023,2,5,5,NULL,NULL,Stable,0,4,NULL,NULL,Stable,4,NULL,NULL,Stable,4.5,Employee is engaged,0,1005
1136,Serenity Thornton,2023-04-09,2023,4,2,2,NULL,NULL,Stable,1,5,NULL,NULL,Stable,2,NULL,NULL,Stable,2.9,Employee At-Risk,1,960
1137,Talan Rivas,2022-11-12,2022,11,3,3,NULL,NULL,Stable,0,3,NULL,NULL,Stable,5,NULL,NULL,Stable,3.4,Needs monitoring,0,1108
1138,Calvin Braun,2022-10-19,2022,10,4,4,NULL,NULL,Stable,0,5,NULL,NULL,Stable,1,NULL,NULL,Stable,3.7,Needs monitoring,0,1132
1139,Cale Bender,2022-08-27,2022,8,2,2,NULL,NULL,Stable,1,4,NULL,NULL,Stable,2,NULL,NULL,Stable,2.6,Employee At-Risk,1,1185
1140,Kirsten Vance,2023-05-04,2023,5,5,5,NULL,NULL,Stable,0,3,NULL,NULL,Stable,2,NULL,NULL,Stable,3.8,Needs monitoring,0,935
1141,Cade Cox,2022-12-26,2022,12,5,5,NULL,NULL,Stable,0,5,NULL,NULL,Stable,2,NULL,NULL,Stable,4.4,Employee is engaged,0,1064
1142,Ibrahim Wolfe,2023-06-21,2023,6,4,4,NULL,NULL,Stable,0,4,NULL,NULL,Stable,4,NULL,NULL,Stable,4,Employee is engaged,0,887
1143,Elianna Schmitt,2022-12-13,2022,12,2,2,NULL,NULL,Stable,1,4,NULL,NULL,Stable,2,NULL,NULL,Stable,2.6,Employee At-Risk,1,1077
1144,Colby Wolfe,2022-11-03,2022,11,5,5,NULL,NULL,Stable,0,3,NULL,NULL,Stable,2,NULL,NULL,Stable,3.8,Needs monitoring,0,1117
1145,Autumn Barrera,2022-10-24,2022,10,3,3,NULL,NULL,Stable,0,3,NULL,NULL,Stable,4,NULL,NULL,Stable,3.2,Needs monitoring,0,1127
1146,Emmalee Cervantes,2022-09-21,2022,9,3,3,NULL,NULL,Stable,0,2,NULL,NULL,Stable,2,NULL,NULL,Stable,2.5,Employee At-Risk,1,1160
1147,Ernest Willis,2023-03-19,2023,3,1,1,NULL,NULL,Stable,1,3,NULL,NULL,Stable,5,NULL,NULL,Stable,2.4,Employee At-Risk,1,981
1148,Jaxon Anderson,2023-04-02,2023,4,4,4,NULL,NULL,Stable,0,1,NULL,NULL,Stable,3,NULL,NULL,Stable,2.9,Employee At-Risk,1,967
1149,Precious Caldwell,2022-11-03,2022,11,3,3,NULL,NULL,Stable,0,2,NULL,NULL,Stable,5,NULL,NULL,Stable,3.1,Needs monitoring,0,1117
1150,Yahir Serrano,2022-12-28,2022,12,3,3,NULL,NULL,Stable,0,4,NULL,NULL,Stable,4,NULL,NULL,Stable,3.5,Needs monitoring,0,1062
1151,Krystal Peterson,2022-12-12,2022,12,5,5,NULL,NULL,Stable,0,3,NULL,NULL,Stable,1,NULL,NULL,Stable,3.6,Needs monitoring,0,1078
1152,Jadyn Haley,2022-12-14,2022,12,1,1,NULL,NULL,Stable,1,1,NULL,NULL,Stable,5,NULL,NULL,Stable,1.8,Employee At-Risk,1,1076
1153,Davis Roberts,2023-02-28,2023,2,3,3,NULL,NULL,Stable,0,4,NULL,NULL,Stable,2,NULL,NULL,Stable,3.1,Needs monitoring,0,1000
1154,Meadow Avery,2023-06-09,2023,6,1,1,NULL,NULL,Stable,1,3,NULL,NULL,Stable,2,NULL,NULL,Stable,1.8,Employee At-Risk,1,899
1155,Allyson Owen,2022-08-25,2022,8,2,2,NULL,NULL,Stable,1,3,NULL,NULL,Stable,1,NULL,NULL,Stable,2.1,Employee At-Risk,1,1187
1156,Francisco Simon,2023-05-12,2023,5,1,1,NULL,NULL,Stable,1,5,NULL,NULL,Stable,2,NULL,NULL,Stable,2.4,Employee At-Risk,1,927
