EmployeeID,Full Name,StartDate,ExitDate,Job Title,Department Type,Gender Code,Race Description,Tenure_Days,Is_Active_Flag,Joining year,Exit year,Start Date Age,Exit Date Age,Age Group,Performance Category,Employee Lifetime Value,Seniority Level,Tenure Risk Score,Age Risk Score,Performance Risk Score,Retention Risk Category
3450,Reilly Moyer,2020-09-01,2022-12-04,Area Sales Manager,Sales,Male,Other,824,0,2020,2022,26,28,25-34,Exceeds,Low Value,Junior,3,2,4,High risk
3451,Carlee French,2021-02-18,2022-11-11,Area Sales Manager,Sales,Male,Other,631,0,2021,2022,53,54,55+,Exceeds,Low Value,Junior,3,1,4,High risk
3452,Jaydon Blackburn,2022-11-08,NULL,Area Sales Manager,Sales,Male,Black,0,1,2022,0,75,0,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3453,Bridger Carter,2022-10-13,NULL,Area Sales Manager,Sales,Male,White,0,1,2022,0,40,0,35-44,Fully Meets,Low Value,Junior,3,4,3,High risk
3454,Leon Beard,2022-09-11,NULL,Area Sales Manager,IT/IS,Male,Hispanic,0,1,2022,0,52,0,55+,Needs Improvement,Low Value,Junior,3,1,1,Medium
3455,Charity Miranda,2021-06-29,2022-07-05,Area Sales Manager,Sales,Male,Other,371,0,2021,2022,22,23,25-34,Exceeds,Low Value,Junior,3,2,4,High risk
3456,Axel Howe,2023-03-06,NULL,Area Sales Manager,Sales,Female,Black,0,1,2023,0,77,0,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3457,Milton Wall,2020-09-25,NULL,Area Sales Manager,Sales,Female,White,0,1,2020,0,73,0,55+,Needs Improvement,Low Value,Junior,2,1,1,Medium
3458,Cory Robinson,2022-04-28,2023-05-24,Area Sales Manager,Sales,Female,Hispanic,391,0,2022,2023,26,27,25-34,Needs Improvement,Low Value,Junior,3,2,1,Medium
3459,Saniya Yu,2021-04-18,2022-06-21,Area Sales Manager,Sales,Male,Black,429,0,2021,2022,77,78,55+,Exceeds,Low Value,Junior,3,1,4,High risk
3460,Alisa James,2020-02-19,NULL,Area Sales Manager,Sales,Male,Asian,0,1,2020,0,76,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3461,Lincoln Compton,2019-07-18,2021-10-01,Area Sales Manager,Sales,Male,Hispanic,806,0,2019,2021,22,24,25-34,Needs Improvement,Low Value,Junior,3,2,1,Medium
3462,Aliana Nolan,2018-09-13,2021-09-17,Area Sales Manager,Sales,Male,Hispanic,1100,0,2018,2021,76,79,55+,Needs Improvement,Medium Value,Mid,3,1,1,Medium
3463,Kayden Dodson,2020-04-30,2021-07-18,Area Sales Manager,Sales,Male,Hispanic,444,0,2020,2021,69,70,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3464,James Duke,2018-12-03,2022-09-09,Area Sales Manager,Sales,Male,Black,1376,0,2018,2022,20,24,25-34,Needs Improvement,Low Value,Mid,2,2,1,Medium
3465,Willow Stuart,2021-11-08,NULL,Area Sales Manager,Sales,Male,Asian,0,1,2021,0,59,0,55+,Needs Improvement,Low Value,Junior,2,1,1,Medium
3466,Clayton Walker,2022-04-13,2023-04-10,Area Sales Manager,IT/IS,Male,Other,362,0,2022,2023,43,44,45-54,Exceeds,Low Value,Junior,3,3,4,High risk
3467,Celia Curtis,2020-05-06,NULL,Area Sales Manager,Sales,Female,Asian,0,1,2020,0,33,0,35-44,Exceeds,Low Value,Junior,2,4,4,High risk
3468,Valentin Reilly,2019-09-09,NULL,Area Sales Manager,Sales,Female,Black,0,1,2019,0,21,0,25-34,Fully Meets,Low Value,Junior,1,2,3,Medium
3469,Ryland Shepherd,2020-07-29,2023-01-05,Area Sales Manager,Sales,Female,Asian,890,0,2020,2023,75,78,55+,Needs Improvement,Medium Value,Junior,3,1,1,Medium
3470,Esteban Gilbert,2018-11-14,2019-10-28,Area Sales Manager,Sales,Female,Black,348,0,2018,2019,21,22,25-34,Needs Improvement,Low Value,Junior,3,2,1,Medium
3471,Jonathan Adkins,2020-02-29,NULL,Area Sales Manager,Sales,Male,Asian,0,1,2020,0,53,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3472,Nevaeh Soto,2023-01-15,NULL,Area Sales Manager,Sales,Male,Other,0,1,2023,0,41,0,35-44,Exceeds,Low Value,Junior,3,4,4,High risk
3473,Chaim Mata,2023-06-29,NULL,Area Sales Manager,Sales,Male,Hispanic,0,1,2023,0,73,0,55+,Exceeds,Low Value,Junior,3,1,4,High risk
3474,Arely Patton,2020-03-09,NULL,Area Sales Manager,Sales,Male,Other,0,1,2020,0,55,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3475,Vance Trujillo,2021-09-21,2023-04-13,Area Sales Manager,Sales,Male,Asian,569,0,2021,2023,64,66,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3476,Charlie Koch,2023-06-12,2023-07-06,Area Sales Manager,Sales,Male,Asian,24,0,2023,2023,78,78,55+,Needs Improvement,Low Value,Junior,4,1,1,Medium
3477,Sonny Horne,2019-04-07,NULL,Area Sales Manager,IT/IS,Female,Asian,0,1,2019,0,50,0,55+,Needs Improvement,Low Value,Junior,1,1,1,Low
3478,Thomas Chandler,2018-09-17,2019-01-09,Area Sales Manager,Sales,Female,Hispanic,114,0,2018,2019,61,62,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3479,Sarai Stone,2022-08-02,2023-04-02,Area Sales Manager,Sales,Female,Hispanic,243,0,2022,2023,60,61,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3480,Jerimiah Harmon,2022-09-08,2022-10-16,Area Sales Manager,Sales,Female,Black,38,0,2022,2022,76,76,55+,Fully Meets,Low Value,Junior,4,1,3,High risk
3481,Leland Allen,2019-03-07,2021-05-31,Area Sales Manager,Sales,Male,Other,816,0,2019,2021,54,56,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3482,Cristal Bolton,2019-10-29,2021-02-07,Area Sales Manager,Sales,Male,Asian,467,0,2019,2021,29,31,35-44,Needs Improvement,Low Value,Junior,3,4,1,High risk
3483,Jaslene Harding,2021-09-26,NULL,Area Sales Manager,Sales,Male,Asian,0,1,2021,0,57,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3484,Albert Gonzalez,2018-08-29,NULL,Area Sales Manager,Sales,Male,Other,0,1,2018,0,23,0,25-34,Fully Meets,Low Value,Junior,1,2,3,Medium
3485,Jaiden Johnson,2021-10-26,NULL,Area Sales Manager,Sales,Male,White,0,1,2021,0,27,0,25-34,Fully Meets,Low Value,Junior,2,2,3,High risk
3486,Brendon Mcconnell,2022-10-31,2023-06-08,Area Sales Manager,Sales,Male,Other,220,0,2022,2023,32,33,35-44,Fully Meets,Low Value,Junior,3,4,3,High risk
3487,Kimora Parsons,2023-03-15,NULL,Area Sales Manager,Sales,Female,Other,0,1,2023,0,29,0,25-34,Fully Meets,Low Value,Junior,3,2,3,High risk
3488,Willie Patterson,2022-09-09,NULL,Area Sales Manager,Sales,Female,Asian,0,1,2022,0,25,0,25-34,Fully Meets,Low Value,Junior,3,2,3,High risk
3489,Devyn Powers,2022-03-04,NULL,Area Sales Manager,Sales,Female,Black,0,1,2022,0,69,0,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3490,Weston Preston,2019-02-11,NULL,Area Sales Manager,Sales,Female,Hispanic,0,1,2019,0,28,0,25-34,Fully Meets,Low Value,Junior,1,2,3,Medium
3491,Lennon Buchanan,2021-01-26,NULL,Area Sales Manager,Sales,Male,White,0,1,2021,0,48,0,45-54,Fully Meets,Low Value,Junior,2,3,3,High risk
3492,Vicente Merritt,2019-11-26,NULL,Area Sales Manager,Sales,Male,Asian,0,1,2019,0,26,0,25-34,Fully Meets,Low Value,Junior,1,2,3,Medium
3493,Hugo Clay,2019-07-15,NULL,Area Sales Manager,Sales,Male,Asian,0,1,2019,0,35,0,35-44,Fully Meets,Low Value,Junior,1,4,3,High risk
3494,Cohen Raymond,2020-06-18,NULL,Area Sales Manager,Sales,Male,Black,0,1,2020,0,26,0,25-34,Fully Meets,Low Value,Junior,2,2,3,High risk
3495,Tia Ellis,2023-06-22,2023-07-22,Area Sales Manager,Sales,Male,Other,30,0,2023,2023,30,30,25-34,Fully Meets,Low Value,Junior,4,2,3,High risk
3496,Aspen Bentley,2021-12-02,NULL,Area Sales Manager,Sales,Male,Other,0,1,2021,0,57,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3497,Graham Rodriguez,2021-12-08,NULL,Area Sales Manager,Sales,Female,Hispanic,0,1,2021,0,40,0,35-44,Fully Meets,Low Value,Junior,2,4,3,High risk
3498,Joel Mcmillan,2023-04-26,2023-06-22,Area Sales Manager,Sales,Female,White,57,0,2023,2023,25,25,25-34,Fully Meets,Low Value,Junior,4,2,3,High risk
3499,Maci Frost,2018-09-25,2021-12-20,Area Sales Manager,Sales,Female,Asian,1182,0,2018,2021,47,50,45-54,Fully Meets,Low Value,Mid,3,3,3,High risk
3500,Nevaeh Lucas,2018-11-20,2020-06-21,Area Sales Manager,Sales,Female,White,579,0,2018,2020,18,20,25-34,Fully Meets,Low Value,Junior,3,2,3,High risk
3501,Garrett Zimmerman,2020-08-30,2022-08-30,Area Sales Manager,Sales,Male,Other,730,0,2020,2022,61,63,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3502,Eugene Marks,2019-10-01,NULL,Area Sales Manager,Sales,Male,White,0,1,2019,0,43,0,45-54,Fully Meets,Low Value,Junior,1,3,3,High risk
3503,Geovanni Pugh,2022-01-20,NULL,Area Sales Manager,Sales,Male,Other,0,1,2022,0,71,0,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3504,Javon Kelley,2021-10-10,NULL,Area Sales Manager,Sales,Male,Hispanic,0,1,2021,0,41,0,45-54,Fully Meets,Low Value,Junior,2,3,3,High risk
3505,Amaya Hicks,2020-08-29,NULL,Area Sales Manager,Sales,Male,Hispanic,0,1,2020,0,77,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3506,Laila Woodard,2019-08-27,2023-05-10,Area Sales Manager,Sales,Male,Other,1352,0,2019,2023,31,35,35-44,Fully Meets,Low Value,Mid,2,4,3,High risk
3507,Ivan Huff,2021-02-25,2023-04-07,Area Sales Manager,Sales,Male,White,771,0,2021,2023,48,50,45-54,Fully Meets,Low Value,Junior,3,3,3,High risk
3508,Aidan Harding,2021-07-13,NULL,Area Sales Manager,Sales,Male,Asian,0,1,2021,0,79,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3509,Cruz Boyer,2021-04-14,NULL,Area Sales Manager,Sales,Female,Black,0,1,2021,0,44,0,45-54,Fully Meets,Low Value,Junior,2,3,3,High risk
3510,Raven Koch,2020-02-10,NULL,Area Sales Manager,Sales,Female,Hispanic,0,1,2020,0,64,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3511,Karli Barker,2021-08-17,2021-12-31,Area Sales Manager,Sales,Female,Asian,136,0,2021,2021,24,24,25-34,Fully Meets,Low Value,Junior,4,2,3,High risk
3512,Tyrone Sosa,2023-04-17,2023-06-22,Area Sales Manager,Sales,Female,Black,66,0,2023,2023,27,27,25-34,Fully Meets,Low Value,Junior,4,2,3,High risk
3513,Damaris Cisneros,2022-09-02,2023-05-24,Area Sales Manager,Sales,Male,Other,264,0,2022,2023,63,64,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3514,Alexus Estes,2020-04-15,NULL,Area Sales Manager,Sales,Male,Asian,0,1,2020,0,62,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3515,Kinsley Flowers,2022-03-09,2022-12-10,Area Sales Manager,Sales,Male,White,276,0,2022,2022,25,25,25-34,Fully Meets,Low Value,Junior,4,2,3,High risk
3516,Deborah Love,2022-04-07,2023-01-22,Area Sales Manager,Sales,Male,Asian,290,0,2022,2023,34,35,35-44,Fully Meets,Low Value,Junior,3,4,3,High risk
3517,Milagros Francis,2020-02-19,NULL,Area Sales Manager,Sales,Male,Hispanic,0,1,2020,0,78,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3518,Roberto Michael,2021-04-10,2022-07-04,Area Sales Manager,Sales,Female,Hispanic,450,0,2021,2022,52,53,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3519,Elaine Ewing,2021-12-19,2022-03-02,Area Sales Manager,Sales,Male,Hispanic,73,0,2021,2022,70,71,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3520,Caiden Munoz,2020-12-13,2023-01-13,Area Sales Manager,Sales,Female,Black,761,0,2020,2023,57,60,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3521,Jocelyn Bradford,2019-02-26,NULL,Area Sales Manager,Sales,Female,Asian,0,1,2019,0,70,0,55+,Fully Meets,Low Value,Junior,1,1,3,Medium
3522,Marques Armstrong,2020-03-02,NULL,Area Sales Manager,Sales,Female,Other,0,1,2020,0,37,0,35-44,Fully Meets,Low Value,Junior,2,4,3,High risk
3523,Rohan Chapman,2021-06-25,2022-08-25,Area Sales Manager,Sales,Female,Other,426,0,2021,2022,43,44,45-54,Fully Meets,Low Value,Junior,3,3,3,High risk
3524,Emmanuel Franklin,2021-07-26,2022-05-04,Area Sales Manager,Sales,Male,Asian,282,0,2021,2022,22,23,25-34,Fully Meets,Low Value,Junior,3,2,3,High risk
3525,Clayton Mccormick,2022-07-03,2023-01-10,Area Sales Manager,Sales,Male,Hispanic,191,0,2022,2023,55,56,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3526,Darius Krause,2022-09-15,NULL,Area Sales Manager,Sales,Male,White,0,1,2022,0,74,0,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3527,Ahmed Hawkins,2020-05-01,2021-02-25,Area Sales Manager,Sales,Male,Black,300,0,2020,2021,46,47,45-54,Fully Meets,Low Value,Junior,3,3,3,High risk
3528,Kymani Benjamin,2022-10-13,NULL,Area Sales Manager,Sales,Male,Hispanic,0,1,2022,0,31,0,25-34,Fully Meets,Low Value,Junior,3,2,3,High risk
3529,Callum Mcdaniel,2020-01-03,2020-08-24,Area Sales Manager,Sales,Male,Hispanic,234,0,2020,2020,26,26,25-34,Fully Meets,Low Value,Junior,4,2,3,High risk
3530,Zariah Black,2019-11-13,NULL,Area Sales Manager,Sales,Female,Black,0,1,2019,0,26,0,25-34,Fully Meets,Low Value,Junior,1,2,3,Medium
3531,Ronnie Mayer,2023-06-17,NULL,Area Sales Manager,Sales,Male,Black,0,1,2023,0,80,0,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3532,Marlon Ford,2021-10-14,NULL,Area Sales Manager,IT/IS,Female,Black,0,1,2021,0,55,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3533,Slade Griffith,2021-06-01,2023-07-16,Area Sales Manager,Sales,Male,White,775,0,2021,2023,55,57,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3534,Lee Frye,2018-09-14,NULL,Area Sales Manager,Sales,Female,Asian,0,1,2018,0,59,0,55+,Fully Meets,Low Value,Junior,1,1,3,Medium
3535,Veronica Rowe,2018-12-11,2022-06-02,Area Sales Manager,Sales,Female,Black,1269,0,2018,2022,24,28,25-34,Fully Meets,Low Value,Mid,2,2,3,High risk
3536,Aylin Berg,2022-08-06,NULL,Area Sales Manager,Sales,Female,Black,0,1,2022,0,33,0,35-44,Fully Meets,Low Value,Junior,3,4,3,High risk
3537,Neveah Rowe,2022-05-28,2023-02-24,Area Sales Manager,Sales,Male,Hispanic,272,0,2022,2023,68,69,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3538,Keith Baxter,2019-06-16,2022-03-05,Area Sales Manager,Sales,Male,Asian,993,0,2019,2022,60,63,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3539,Chaz Bruce,2019-12-08,NULL,Area Sales Manager,Sales,Male,Hispanic,0,1,2019,0,36,0,35-44,Fully Meets,Low Value,Junior,1,4,3,High risk
3540,Maya Mccann,2020-03-12,2022-10-09,Area Sales Manager,Sales,Male,White,941,0,2020,2022,37,39,35-44,Exceeds,Low Value,Junior,3,4,4,High risk
3541,Aaron Weber,2020-04-06,2023-07-24,Area Sales Manager,Sales,Male,Black,1204,0,2020,2023,29,32,25-34,Exceeds,Low Value,Mid,3,2,4,High risk
3542,Ellie Gill,2023-04-15,NULL,Area Sales Manager,Sales,Male,White,0,1,2023,0,75,0,55+,Needs Improvement,Low Value,Junior,3,1,1,Medium
3543,Rayne Kerr,2020-11-10,NULL,Area Sales Manager,Sales,Female,Black,0,1,2020,0,39,0,35-44,Fully Meets,Low Value,Junior,2,4,3,High risk
3544,Samara Mcbride,2023-06-29,2023-07-09,Area Sales Manager,Sales,Male,Asian,10,0,2023,2023,23,23,25-34,Fully Meets,Low Value,Junior,4,2,3,High risk
3545,Ryann Rubio,2022-03-07,NULL,Area Sales Manager,IT/IS,Female,Black,0,1,2022,0,79,0,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3546,Paris Carr,2021-07-31,2023-01-27,Area Sales Manager,Sales,Male,Hispanic,545,0,2021,2023,41,43,45-54,Exceeds,Low Value,Junior,3,3,4,High risk
3547,Adriel Wiggins,2022-01-20,NULL,Area Sales Manager,Sales,Female,Other,0,1,2022,0,75,0,55+,Needs Improvement,Low Value,Junior,3,1,1,Medium
3548,Sanaa Glass,2021-07-11,2022-10-10,Area Sales Manager,Sales,Female,White,456,0,2021,2022,57,58,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3549,Ryan Lynch,2018-10-15,2020-10-18,Area Sales Manager,Sales,Female,Black,734,0,2018,2020,63,65,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3550,Charlie Atkinson,2021-11-26,2022-10-14,Area Sales Manager,Sales,Male,White,322,0,2021,2022,33,34,35-44,Fully Meets,Low Value,Junior,3,4,3,High risk
3551,Emery Roach,2018-08-11,NULL,Area Sales Manager,Sales,Male,Black,0,1,2018,0,64,0,55+,Needs Improvement,Low Value,Junior,1,1,1,Low
3552,Harper Ramos,2020-02-16,2020-06-03,Area Sales Manager,Sales,Male,White,108,0,2020,2020,78,78,55+,Needs Improvement,Low Value,Junior,4,1,1,Medium
3553,Khalil Mendez,2020-01-20,NULL,Area Sales Manager,Sales,Male,Black,0,1,2020,0,71,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3554,Lizeth Holland,2019-03-31,NULL,Area Sales Manager,Sales,Male,Asian,0,1,2019,0,61,0,55+,Fully Meets,Low Value,Junior,1,1,3,Medium
3555,Matilda Randall,2023-01-06,2023-05-07,Area Sales Manager,Sales,Female,Hispanic,121,0,2023,2023,35,35,35-44,Fully Meets,Low Value,Junior,4,4,3,High risk
3556,Damien Howe,2019-07-18,2020-01-15,Area Sales Manager,Sales,Male,White,181,0,2019,2020,58,59,55+,Exceeds,Low Value,Junior,3,1,4,High risk
3557,Nicholas Obrien,2019-02-13,NULL,Area Sales Manager,Sales,Male,Other,0,1,2019,0,59,0,55+,Fully Meets,Low Value,Junior,1,1,3,Medium
3558,Mildred Gentry,2018-12-30,NULL,Production Technician I,Production,Female,Black,0,1,2018,0,59,0,55+,Fully Meets,Low Value,Junior,1,1,3,Medium
3559,Wilson K Adinolfi,2019-11-06,2020-09-06,Production Technician I,Production,Male,White,305,0,2019,2020,28,29,25-34,Fully Meets,Low Value,Junior,3,2,3,High risk
3560,Joanne Handschiegl,2022-06-01,NULL,Production Technician I,Production,Female,Asian,0,1,2022,0,68,0,55+,Exceeds,Low Value,Junior,3,1,4,High risk
3561,Dianna Blount,2023-03-28,NULL,Production Technician II,Production,Female,White,0,1,2023,0,64,0,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3562,Jean Crimmings,2019-05-21,2023-01-05,Production Technician I,Production,Female,Other,1325,0,2019,2023,65,69,55+,Exceeds,Low Value,Mid,2,1,4,High risk
3563,Nore Sadki,2019-01-01,NULL,Production Technician I,Production,Male,Black,0,1,2019,0,73,0,55+,Performance Improvement Plan,Low Value,Junior,1,1,2,Medium
3564,Susan Lundy,2019-01-26,2020-12-02,Production Technician II,Production,Female,White,676,0,2019,2020,25,26,25-34,Fully Meets,Low Value,Junior,3,2,3,High risk
3565,Kramer Keatts,2021-09-11,NULL,Production Technician I,Production,Male,Other,0,1,2021,0,53,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3566,Maliki Moumanil,2021-09-26,NULL,Production Technician II,Production,Male,Black,0,1,2021,0,58,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3567,Nader Barton,2023-03-04,NULL,Production Technician I,Production,Male,Asian,0,1,2023,0,57,0,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3568,Quinn Rarrick,2023-07-11,2023-07-29,Production Technician I,Production,Male,Asian,18,0,2023,2023,49,49,45-54,Fully Meets,Low Value,Junior,4,3,3,High risk
3569,Beatrice Chace,2019-02-09,2020-08-28,Production Technician I,Production,Female,Hispanic,566,0,2019,2020,24,25,25-34,Fully Meets,Low Value,Junior,3,2,3,High risk
3570,Adrienne J Homberger,2019-04-19,2021-10-26,Production Technician II,Production,Female,Asian,921,0,2019,2021,45,47,45-54,Fully Meets,Low Value,Junior,3,3,3,High risk
3571,Marilyn Linares,2022-07-07,2023-07-17,Production Technician I,Production,Female,White,375,0,2022,2023,75,76,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3572,Timothy Sullivan,2019-03-12,2020-05-19,Production Technician I,Production,Male,White,434,0,2019,2020,25,26,25-34,Fully Meets,Low Value,Junior,3,2,3,High risk
3573,Jennifer Medeiros,2020-03-09,2021-10-17,Production Technician I,Production,Female,Asian,587,0,2020,2021,37,38,35-44,Exceeds,Low Value,Junior,3,4,4,High risk
3574,Anna Von Massenbach,2021-05-18,2022-01-04,Production Technician I,Production,Female,Hispanic,231,0,2021,2022,70,71,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3575,George Johnson,2021-04-28,2022-01-18,Production Technician I,Production,Male,Hispanic,265,0,2021,2022,34,35,35-44,Exceeds,Low Value,Junior,3,4,4,High risk
3576,Angela Erilus,2021-07-21,2023-04-26,Production Technician II,Production,Female,Asian,644,0,2021,2023,29,31,25-34,Exceeds,Low Value,Junior,3,2,4,High risk
3577,Miguel Estremera,2019-09-15,NULL,Production Technician I,Production,Male,White,0,1,2019,0,62,0,55+,Fully Meets,Low Value,Junior,1,1,3,Medium
3578,Clinton Owad,2019-05-04,NULL,Production Technician I,Production,Male,Hispanic,0,1,2019,0,62,0,55+,Exceeds,Low Value,Junior,1,1,4,Medium
3579,Constance Sloan,2021-05-20,NULL,Production Technician II,Production,Female,Asian,0,1,2021,0,75,0,55+,Needs Improvement,Low Value,Junior,2,1,1,Medium
3580,Davion Sanchez,2019-12-16,NULL,Production Technician I,Production,Male,Other,0,1,2019,0,77,0,55+,Fully Meets,Low Value,Junior,1,1,3,Medium
3581,Ross Strickland,2020-11-20,2023-05-01,Production Technician I,Production,Male,Other,892,0,2020,2023,77,80,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3582,Augustus Drake,2020-08-19,2022-05-04,Production Technician I,Production,Male,Asian,623,0,2020,2022,52,54,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3583,Gracelyn Huynh,2021-04-28,2022-04-18,Production Technician I,Production,Female,White,355,0,2021,2022,63,64,55+,Needs Improvement,Low Value,Junior,3,1,1,Medium
3584,Orlando Armstrong,2020-08-14,NULL,Production Technician I,Production,Female,Other,0,1,2020,0,33,0,35-44,Fully Meets,Low Value,Junior,2,4,3,High risk
